      Pyromorphite
Diffraction data computed using the structure from the paper listed below, 
along with the cell parameters refined from the powder pattern of R050027
      Dai Y S, Hughes J M
      The Canadian Mineralogist 27 (1989) 189-192
      Crystal-structure refinements of vanadinite and pyromorphite

      CELL PARAMETERS:   9.9909  9.9909  7.3416   90.000   90.000  120.000
      SPACE GROUP: P6_3/m    

           ATOM        X         Y         Z     OCCUPANCY  ISO(B)
            Pb     0.33333   0.66667   0.00480     1.000     0.675
            Pb     0.25429   0.00536   0.25000     1.000     0.846
            P      0.41040   0.37870   0.25000     1.000     0.376
            O      0.34300   0.49000   0.25000     1.000     0.253
            O      0.59000   0.47500   0.25000     1.000     0.174
            O      0.35900   0.27400   0.08400     1.000     0.363
            Cl     0.00000   0.00000   0.00000     1.000     0.300

            X-RAY WAVELENGTH:     1.541838
            BOUNDS ON TWO THETA:    5.0  90.0
            LIMITS IMPOSED ON THE INDICES ARE:  +/-  7 +/-  7 +/-  6
            MAX. ABS. INTENSITY / VOLUME**2:      169.4348994    
            The INTENSITY cut off value is   1.00

               2-THETA      INTENSITY    D-SPACING   H   K   L
                17.76          9.53        4.9955    1   1   0
                20.53         28.29        4.3262    2   0   0
                21.52         44.40        4.1300    1   1   1
                23.87          1.96        3.7272    2   0   1
                24.25          6.66        3.6708    0   0   2
                26.37         30.00        3.3793    1   0   2
                27.27         15.87        3.2703    1   2   0
                27.27         19.73        3.2703    2   1   0
                29.91         41.14        2.9873    1   2   1
                29.91         50.41        2.9873    2   1   1
                30.21        100.00        2.9580    1   1   2
                31.01         53.72        2.8841    3   0   0
                35.96          2.73        2.4977    2   2   0
                36.81          1.19        2.4418    1   2   2
                39.75          6.02        2.2679    3   0   2
                41.07         15.55        2.1977    1   1   3
                41.76          6.14        2.1631    4   0   0
                43.84         37.40        2.0650    2   2   2
                45.14          8.36        2.0086    1   3   2
                45.14         12.00        2.0086    3   1   2
                45.71          7.13        1.9850    2   3   0
                45.71          2.60        1.9850    3   2   0
                46.34         15.10        1.9593    1   2   3
                46.34         12.08        1.9593    2   1   3
                47.45         13.88        1.9162    2   3   1
                47.45          9.61        1.9162    3   2   1
                48.20          9.72        1.8881    1   4   0
                48.20         14.84        1.8881    4   1   0
                48.87         31.16        1.8636    4   0   2
                49.67         12.67        1.8354    0   0   4
                53.16          2.09        1.7228    1   1   4
                54.29          3.62        1.6896    2   0   4
                54.66          2.98        1.6790    1   4   2
                54.66          1.68        1.6790    4   1   2
                55.16          1.19        1.6652    3   3   0
                56.26          3.58        1.6351    2   4   0
                56.26          2.13        1.6351    4   2   0
                56.68          5.81        1.6239    3   3   1
                57.59          6.13        1.6006    1   2   4
                57.59          3.76        1.6006    2   1   4
                59.01          5.30        1.5653    5   0   2
                59.48          1.54        1.5540    1   5   0
                59.48          2.56        1.5540    5   1   0
                59.72         12.96        1.5484    3   0   4
                60.01          3.37        1.5416    2   3   3
                60.01          5.85        1.5416    3   2   3
                60.94          4.21        1.5203    1   5   1
                60.94          6.30        1.5203    5   1   1
                61.11         10.74        1.5164    3   3   2
                62.83          1.08        1.4790    2   2   4
                66.36          2.12        1.4087    1   1   5
                66.85          3.26        1.3995    4   0   4
                67.62          1.09        1.3855    2   5   0
                68.11          2.59        1.3767    3   3   3
                68.98          1.91        1.3615    2   5   1
                68.98          3.47        1.3615    5   2   1
                69.79          1.25        1.3476    3   2   4
                69.79          2.87        1.3476    2   3   4
                70.11          7.28        1.3422    6   0   2
                70.27          2.55        1.3395    1   2   5
                70.27          4.51        1.3395    2   1   5
                71.08          4.51        1.3263    3   4   2
                71.08          1.49        1.3263    4   3   2
                71.50          1.42        1.3195    1   6   0
                71.50          1.18        1.3195    6   1   0
                71.72          6.35        1.3161    1   4   4
                71.72          7.71        1.3161    4   1   4
                71.98          2.79        1.3119    1   5   3
                71.98          2.81        1.3119    5   1   3
                72.83          2.61        1.2987    1   6   1
                72.83          1.63        1.2987    6   1   1
                72.99          6.90        1.2962    2   5   2
                72.99          5.84        1.2962    5   2   2
                76.24          2.33        1.2489    4   4   0
                78.31          2.42        1.2209    2   4   4
                78.31          2.61        1.2209    4   2   4
                79.03          1.35        1.2115    1   0   6
                79.50          1.22        1.2057    2   5   3
                79.50          2.60        1.2057    5   2   3
                80.88          5.97        1.1885    1   1   6
                81.09          1.55        1.1860    1   5   4
                81.09          2.27        1.1860    5   1   4
                81.55          1.34        1.1805    3   2   5
                81.55          2.96        1.1805    2   3   5
                82.31          1.05        1.1714    3   5   2
                82.31          1.95        1.1714    7   0   2
                83.18          1.38        1.1614    1   6   3
                83.18          1.03        1.1614    6   1   3
                88.85          1.48        1.1013    3   3   5
                89.11          4.26        1.0988    2   2   6
================================================================================
       XPOW Copyright 1993 Bob Downs, Ranjini Swaminathan and Kurt Bartelmehs
  For reference, see Downs et al. (1993) American Mineralogist 78, 1104-1107.
